ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-3984.1732777777775	-3984.1732777777775	-3984.1732777777775	-3984.1732777777775
1	-3964.7656111111105	-4002.914222222221	-3920.728749999999	-3838.543277777777
2	-3797.2639999999988	-3977.259999999999	-3774.7376944444436	-3589.3010000000004
3	-3748.0893888888886	-4109.185888888888	-3774.2379212962956	-3478.044166666666
4	-3767.715555555556	-4174.157888888887	-3765.774567592593	-3373.934222222222
5	-3750.550888888889	-4225.386166666665	-3817.5312009259246	-3442.065388888889
6	-3738.7516666666666	-4344.975555555556	-3825.8815101851847	-3340.545611111112
7	-3772.740166666665	-4380.180888888888	-3865.265363888887	-3357.2064444444445
8	-3990.5216111111095	-4520.47672222222	-3951.6963166666665	-3437.9017222222224
9	-3841.7913333333327	-4558.7379999999985	-3946.6232009259247	-3402.147555555556
10	-3839.7036666666663	-4627.532722222221	-3950.8614925925917	-3393.2006666666657
11	-3844.6427777777767	-4580.335722222222	-3955.4024212962954	-3414.838388888889
12	-3896.894166666667	-4665.329444444445	-3975.0969935185185	-3415.3635555555556
13	-3797.6872777777776	-4581.302277777777	-3960.8304842592584	-3484.415166666666
14	-3742.534833333333	-4592.313555555555	-3939.9047240740742	-3375.8511666666664
15	-3732.166333333332	-4525.8528333333325	-3916.156187962963	-3384.4841666666666
16	-3879.432999999998	-4522.196444444442	-3922.7204879629626	-3377.5623888888886
17	-3833.268555555555	-4465.504499999999	-3911.848912037037	-3382.108166666667
18	-3798.6006666666663	-4409.797388888887	-3891.871088888888	-3409.5168888888893
19	-3818.6169444444436	-4410.456833333332	-3880.897115740739	-3347.5763888888887
20	-3787.511777777777	-4372.107833333333	-3863.605206481481	-3331.005944444444
21	-3789.356444444443	-4303.992555555556	-3842.9938259259247	-3307.7447222222218
22	-3911.8523888888867	-4251.570499999998	-3834.3887740740734	-3334.2577777777765
23	-3838.272499999998	-4230.597333333332	-3803.581292592593	-3295.757555555555
24	-3765.9300000000003	-4220.900777777778	-3787.55938148148	-3275.228166666666
25	-3718.1073333333325	-4200.2959999999985	-3762.0532462962947	-3260.9413333333328
26	-3794.7386666666653	-4192.708277777777	-3764.1198240740728	-3278.4251111111103
27	-3787.347666666665	-4189.307777777776	-3760.2314648148126	-3277.894611111111
28	-3847.5679999999993	-4228.545388888888	-3767.7524870370366	-3286.2715
29	-3803.902111111111	-4142.1966111111105	-3796.8643685185184	-3390.304222222222
30	-3860.68761111111	-4288.331833333333	-3812.0782240740737	-3363.48711111111
31	-3806.1494999999986	-4240.105555555555	-3795.0825277777776	-3347.086499999999
32	-3816.3073333333323	-4216.756888888888	-3797.065729629629	-3374.5582777777768
33	-3788.604111111111	-4200.383388888888	-3799.6493055555547	-3371.566944444444
34	-3819.279499999999	-4243.998555555556	-3799.8016574074063	-3397.1929999999984
35	-3721.1276111111097	-4180.124055555556	-3789.313749999999	-3391.2549999999987
36	-3701.9307222222214	-4213.730055555555	-3772.2912907407404	-3361.5557777777767
37	-3826.9651111111107	-4223.500222222221	-3767.516253703703	-3382.8513888888883
38	-3821.546833333333	-4248.670944444444	-3779.7665851851834	-3365.874388888888
39	-3790.7374999999997	-4193.545888888888	-3774.913475925925	-3364.140611111111
40	-3864.17611111111	-4224.762666666666	-3786.626918518518	-3380.1061111111103
41	-3820.4010555555556	-4137.626944444444	-3789.4691111111097	-3404.55411111111
42	-3799.89611111111	-4188.692999999999	-3795.0179814814805	-3443.7913333333327
43	-3852.775222222221	-4240.00611111111	-3800.720724074073	-3411.7894444444437
44	-3825.8997777777768	-4192.778055555555	-3790.1255851851843	-3407.350277777777
45	-3776.244777777777	-4145.9659999999985	-3779.36464074074	-3360.6811666666667
46	-3829.798999999998	-4242.963111111109	-3778.232053703703	-3331.2592777777772
47	-3716.895611111111	-4156.979833333332	-3766.5589351851836	-3373.613555555555
48	-3851.9642222222224	-4166.861444444444	-3792.928505555555	-3388.6540555555544
49	-3830.327888888887	-4239.520777777777	-3800.371142592592	-3375.167999999999
50	-4001.4353333333324	-4310.195555555554	-3810.019196296296	-3366.7064444444436
51	-3802.798333333333	-4160.906333333333	-3785.35509074074	-3379.0922222222216
52	-3839.9916666666654	-4181.233666666666	-3777.7870462962946	-3376.327166666666
53	-3843.8333888888883	-4190.387	-3778.849744444443	-3360.3613888888885
54	-3898.6073333333325	-4190.990277777777	-3781.7869240740724	-3385.236388888888
55	-3774.729388888888	-4115.575277777778	-3766.5049425925918	-3413.5346666666665
56	-3882.584888888889	-4198.109666666666	-3776.5607092592586	-3378.1512777777775
57	-3877.911999999999	-4141.418999999998	-3771.449574074073	-3414.9946666666656
58	-3847.6997777777765	-4106.397333333332	-3771.2731185185185	-3438.443277777778
59	-3764.1462222222203	-4105.208722222222	-3757.0116648148137	-3408.288555555555
60	-3836.4562777777774	-4134.182444444444	-3766.514268518517	-3398.6104444444436
61	-3918.58661111111	-4205.518722222222	-3788.875044444443	-3428.5571111111108
62	-4015.8017777777754	-4208.274555555555	-3812.392207407406	-3442.493499999999
63	-3816.593555555555	-4154.064388888888	-3796.402312962961	-3396.8516666666656
64	-3756.6847222222223	-4226.3708333333325	-3793.3847944444433	-3353.52961111111
65	-3822.098166666666	-4237.719388888889	-3807.4950259259253	-3366.6582222222214
66	-3924.9061666666653	-4238.818333333333	-3822.741179629629	-3400.2281111111106
67	-3879.529999999999	-4235.590833333333	-3814.9621796296287	-3383.382444444444
68	-3827.8252222222227	-4229.279833333332	-3817.003737037036	-3354.3978888888887
69	-3952.830722222221	-4272.699555555555	-3840.1509518518506	-3407.012444444444
70	-3847.750333333332	-4232.069277777777	-3843.1675333333333	-3452.1537222222214
71	-3831.156888888889	-4257.856222222221	-3849.7576499999986	-3445.197333333333
72	-3962.4805555555545	-4267.847833333333	-3874.3736796296307	-3502.046833333332
73	-3944.1994999999984	-4324.9527222222205	-3873.3925092592576	-3461.9477777777774
74	-3877.353222222221	-4244.782166666665	-3859.7316777777773	-3471.6085
75	-3867.6655555555553	-4253.644333333333	-3865.452040740741	-3481.8783888888884
76	-3916.9128333333315	-4286.688555555555	-3861.7449407407403	-3473.952888888889
77	-3926.5704444444436	-4279.401333333332	-3854.8899981481486	-3474.4018888888886
78	-3861.2688333333335	-4215.544166666666	-3830.9627333333337	-3443.7586111111104
79	-3973.2029444444433	-4283.773888888889	-3841.978066666665	-3448.394166666665
80	-3914.2985555555547	-4210.18761111111	-3825.6434111111103	-3442.4399999999996
81	-3892.934944444444	-4248.2552777777755	-3821.418429629629	-3392.593388888888
82	-3843.4162777777765	-4146.8414999999995	-3810.907066666665	-3449.589999999999
83	-3969.237944444443	-4273.572388888888	-3834.308964814814	-3437.181944444443
84	-3930.003944444443	-4161.930277777775	-3816.9310981481476	-3449.6562777777767
85	-3843.6237222222207	-4200.84461111111	-3808.1478518518506	-3422.7772222222206
86	-3912.1594444444436	-4166.546499999999	-3814.390503703703	-3450.3904444444433
87	-3952.0811666666655	-4153.802333333331	-3835.678646296295	-3504.315833333332
88	-3936.5181111111106	-4242.432666666664	-3849.1252018518508	-3510.8879999999986
89	-3877.562833333333	-4189.78122222222	-3843.8722370370356	-3534.558666666666
90	-3891.5857222222216	-4234.898944444442	-3841.904283333332	-3509.2248888888876
91	-3830.31711111111	-4206.214111111109	-3823.798362962962	-3509.3477222222223
92	-3762.0979444444433	-4121.935666666665	-3803.26276111111	-3481.7570555555544
93	-3903.278499999998	-4121.97161111111	-3821.2784444444437	-3532.1587777777777
94	-3959.097666666666	-4173.014999999999	-3828.902838888888	-3537.115388888889
95	-3833.612444444444	-4081.770388888888	-3809.453124074072	-3520.0964444444444
96	-3845.441277777777	-4121.988333333332	-3811.158603703703	-3478.7165555555553
97	-3903.1639999999993	-4155.7628888888885	-3826.517507407406	-3476.89461111111
98	-3821.9143333333323	-4145.005833333332	-3828.1693759259256	-3497.1763333333333
99	-3916.462444444445	-4240.775277777777	-3841.9514870370363	-3465.7443333333326
100	-3857.4599444444434	-4218.3935555555545	-3837.3987944444434	-3465.4702777777766
