Iteration	car_travel	car_wait	stageActivity_travel	stageActivity_wait
0	1578.8294444444443	0.0	0.0	0.0
1	1520.185	0.0	0.0	0.0
2	1502.6075	0.0	0.0	0.0
3	1487.7388888888888	0.0	0.0	0.0
4	1461.331111111111	0.0	0.0	0.0
5	1431.6347222222223	0.0	0.0	0.0
6	1426.1672222222223	0.0	0.0	0.0
7	1470.1691666666666	0.0	0.0	0.0
8	1434.7622222222221	0.0	0.0	0.0
9	1426.9672222222223	0.0	0.0	0.0
10	1436.9888888888888	0.0	0.0	0.0
11	1418.955	0.0	0.0	0.0
12	1398.3783333333333	0.0	0.0	0.0
13	1439.5230555555556	0.0	0.0	0.0
14	1397.7922222222223	0.0	0.0	0.0
15	1449.7594444444444	0.0	0.0	0.0
16	1422.9894444444444	0.0	0.0	0.0
17	1400.9477777777777	0.0	0.0	0.0
18	1421.6858333333332	0.0	0.0	0.0
19	1406.2122222222222	0.0	0.0	0.0
20	1416.7252777777778	0.0	0.0	0.0
21	1421.0302777777779	0.0	0.0	0.0
22	1380.3475	0.0	0.0	0.0
23	1370.8944444444444	0.0	0.0	0.0
24	1342.3397222222222	0.0	0.0	0.0
25	1372.7725	0.0	0.0	0.0
26	1359.641388888889	0.0	0.0	0.0
27	1366.8283333333334	0.0	0.0	0.0
28	1359.773888888889	0.0	0.0	0.0
29	1346.431111111111	0.0	0.0	0.0
30	1354.2802777777779	0.0	0.0	0.0
31	1341.0877777777778	0.0	0.0	0.0
32	1360.8338888888889	0.0	0.0	0.0
33	1358.1097222222222	0.0	0.0	0.0
34	1351.0722222222223	0.0	0.0	0.0
35	1328.1155555555556	0.0	0.0	0.0
36	1353.12	0.0	0.0	0.0
37	1347.933611111111	0.0	0.0	0.0
38	1330.5602777777779	0.0	0.0	0.0
39	1366.9605555555556	0.0	0.0	0.0
40	1374.5375	0.0	0.0	0.0
41	1346.8519444444444	0.0	0.0	0.0
42	1349.8158333333333	0.0	0.0	0.0
43	1365.9233333333334	0.0	0.0	0.0
44	1370.5430555555556	0.0	0.0	0.0
45	1355.12	0.0	0.0	0.0
46	1341.5347222222222	0.0	0.0	0.0
47	1372.2205555555556	0.0	0.0	0.0
48	1378.9055555555556	0.0	0.0	0.0
49	1338.753611111111	0.0	0.0	0.0
50	1351.3727777777779	0.0	0.0	0.0
51	1342.3330555555556	0.0	0.0	0.0
52	1374.441111111111	0.0	0.0	0.0
53	1351.8116666666667	0.0	0.0	0.0
54	1359.0780555555555	0.0	0.0	0.0
55	1333.8058333333333	0.0	0.0	0.0
56	1371.9019444444446	0.0	0.0	0.0
57	1345.846388888889	0.0	0.0	0.0
58	1337.661388888889	0.0	0.0	0.0
59	1338.8963888888889	0.0	0.0	0.0
60	1329.0422222222223	0.0	0.0	0.0
61	1319.4666666666667	0.0	0.0	0.0
62	1368.8727777777779	0.0	0.0	0.0
63	1344.8383333333334	0.0	0.0	0.0
64	1346.7244444444445	0.0	0.0	0.0
65	1323.3391666666666	0.0	0.0	0.0
66	1335.305	0.0	0.0	0.0
67	1320.3661111111112	0.0	0.0	0.0
68	1319.1583333333333	0.0	0.0	0.0
69	1346.4180555555556	0.0	0.0	0.0
70	1339.8402777777778	0.0	0.0	0.0
71	1311.3747222222223	0.0	0.0	0.0
72	1322.8355555555556	0.0	0.0	0.0
73	1345.138611111111	0.0	0.0	0.0
74	1339.6961111111111	0.0	0.0	0.0
75	1324.5538888888889	0.0	0.0	0.0
76	1341.9875	0.0	0.0	0.0
77	1318.7888888888888	0.0	0.0	0.0
78	1343.8708333333334	0.0	0.0	0.0
79	1290.0541666666666	0.0	0.0	0.0
80	1309.8236111111112	0.0	0.0	0.0
81	1324.7941666666666	0.0	0.0	0.0
82	1335.4447222222223	0.0	0.0	0.0
83	1324.9208333333333	0.0	0.0	0.0
84	1295.8802777777778	0.0	0.0	0.0
85	1328.7111111111112	0.0	0.0	0.0
86	1339.8055555555557	0.0	0.0	0.0
87	1312.111388888889	0.0	0.0	0.0
88	1339.5377777777778	0.0	0.0	0.0
89	1304.6552777777779	0.0	0.0	0.0
90	1311.2294444444444	0.0	0.0	0.0
91	1305.4316666666666	0.0	0.0	0.0
92	1312.3205555555555	0.0	0.0	0.0
93	1314.703888888889	0.0	0.0	0.0
94	1320.05	0.0	0.0	0.0
95	1343.753611111111	0.0	0.0	0.0
96	1329.5936111111112	0.0	0.0	0.0
97	1320.168888888889	0.0	0.0	0.0
98	1326.9644444444446	0.0	0.0	0.0
99	1343.3338888888889	0.0	0.0	0.0
100	1315.5780555555555	0.0	0.0	0.0
