Iteration	car
0	7056.0
1	7212.0
2	7464.0
3	7516.0
4	7468.0
5	7568.0
6	7596.0
7	7668.0
8	7564.0
9	7556.0
10	7580.0
11	7640.0
12	7680.0
13	7664.0
14	7720.0
15	7704.0
16	7640.0
17	7728.0
18	7652.0
19	7704.0
20	7688.0
21	7848.0
22	7680.0
23	7688.0
24	7684.0
25	7716.0
26	7780.0
27	7704.0
28	7700.0
29	7696.0
30	7740.0
31	7740.0
32	7720.0
33	7764.0
34	7748.0
35	7712.0
36	7864.0
37	7728.0
38	7776.0
39	7796.0
40	7676.0
41	7844.0
42	7792.0
43	7664.0
44	7712.0
45	7760.0
46	7696.0
47	7812.0
48	7668.0
49	7808.0
50	7700.0
51	7712.0
52	7772.0
53	7716.0
54	7716.0
55	7752.0
56	7728.0
57	7772.0
58	7740.0
59	7760.0
60	7728.0
61	7680.0
62	7752.0
63	7856.0
64	7812.0
65	7800.0
66	7748.0
67	7832.0
68	7720.0
69	7772.0
70	7708.0
71	7788.0
72	7688.0
73	7748.0
74	7836.0
75	7832.0
76	7772.0
77	7776.0
78	7736.0
79	7720.0
80	7724.0
81	7740.0
82	7836.0
83	7716.0
84	7740.0
85	7756.0
86	7708.0
87	7668.0
88	7720.0
89	7788.0
90	7776.0
91	7752.0
92	7680.0
93	7636.0
94	7804.0
95	7728.0
96	7784.0
97	7732.0
98	7732.0
99	7716.0
100	7744.0
