Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	16:12:48	16:12:48	16:12:48			16:12:48	16:12:48	16:12:48	16:12:48	16:12:48	16:12:48	16:12:48	16:12:52	16:12:52	16:12:52	16:12:52	16:12:52	16:12:52			16:12:54	16:12:54		00:00:00		00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:06
1	16:12:54	16:12:54	16:12:54	16:12:54	16:12:54	16:12:54	16:12:54	16:12:54	16:12:54	16:12:54	16:12:54	16:12:54	16:12:58	16:12:58	16:12:58	16:12:58	16:12:58	16:12:58			16:12:59	16:12:59		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
2	16:12:59	16:12:59	16:12:59	16:12:59	16:12:59	16:12:59			16:12:59	16:12:59	16:12:59	16:12:59	16:13:05	16:13:05	16:13:05	16:13:05	16:13:05	16:13:05			16:13:05	16:13:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:05
3	16:13:05	16:13:05	16:13:05	16:13:05	16:13:05	16:13:05			16:13:05	16:13:05	16:13:05	16:13:05	16:13:10	16:13:10	16:13:10	16:13:10	16:13:10	16:13:10			16:13:11	16:13:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:05
4	16:13:11	16:13:11	16:13:11	16:13:11	16:13:11	16:13:11			16:13:11	16:13:11	16:13:11	16:13:11	16:13:15	16:13:15	16:13:15	16:13:15	16:13:15	16:13:15			16:13:16	16:13:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
5	16:13:16	16:13:16	16:13:16	16:13:16	16:13:16	16:13:16			16:13:16	16:13:16	16:13:16	16:13:16	16:13:22	16:13:22	16:13:22	16:13:22	16:13:22	16:13:22			16:13:22	16:13:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
6	16:13:22	16:13:22	16:13:22	16:13:22	16:13:23	16:13:23			16:13:23	16:13:23	16:13:23	16:13:23	16:13:28	16:13:28	16:13:28	16:13:28	16:13:28	16:13:28			16:13:28	16:13:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:05
7	16:13:28	16:13:28	16:13:28	16:13:28	16:13:28	16:13:28			16:13:28	16:13:28	16:13:28	16:13:28	16:13:33	16:13:33	16:13:33	16:13:33	16:13:33	16:13:33			16:13:33	16:13:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
8	16:13:34	16:13:34	16:13:34	16:13:34	16:13:34	16:13:34			16:13:34	16:13:34	16:13:34	16:13:34	16:13:38	16:13:38	16:13:38	16:13:38	16:13:38	16:13:38			16:13:38	16:13:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
9	16:13:38	16:13:38	16:13:38	16:13:38	16:13:38	16:13:38			16:13:38	16:13:38	16:13:38	16:13:38	16:13:43	16:13:43	16:13:43	16:13:43	16:13:43	16:13:43			16:13:43	16:13:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
10	16:13:44	16:13:44	16:13:44	16:13:44	16:13:44	16:13:44	16:13:44	16:13:44	16:13:44	16:13:44	16:13:44	16:13:44	16:13:48	16:13:48	16:13:48	16:13:48	16:13:48	16:13:48	16:13:48	16:13:48	16:13:49	16:13:49		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:00	00:00:05
11	16:13:49	16:13:49	16:13:49	16:13:49	16:13:49	16:13:49			16:13:49	16:13:49	16:13:49	16:13:49	16:13:53	16:13:53	16:13:53	16:13:53	16:13:53	16:13:53			16:13:54	16:13:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
12	16:13:54	16:13:54	16:13:54	16:13:54	16:13:54	16:13:54			16:13:54	16:13:54	16:13:54	16:13:54	16:13:58	16:13:58	16:13:58	16:13:58	16:13:58	16:13:58			16:13:58	16:13:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
13	16:13:58	16:13:58	16:13:58	16:13:58	16:13:58	16:13:58			16:13:58	16:13:58	16:13:58	16:13:58	16:14:03	16:14:03	16:14:03	16:14:03	16:14:03	16:14:03			16:14:03	16:14:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
14	16:14:03	16:14:03	16:14:03	16:14:03	16:14:03	16:14:03			16:14:03	16:14:03	16:14:03	16:14:03	16:14:07	16:14:07	16:14:07	16:14:07	16:14:07	16:14:07			16:14:07	16:14:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
15	16:14:07	16:14:07	16:14:07	16:14:07	16:14:07	16:14:07			16:14:07	16:14:07	16:14:07	16:14:07	16:14:11	16:14:11	16:14:11	16:14:11	16:14:11	16:14:11			16:14:12	16:14:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
16	16:14:12	16:14:12	16:14:12	16:14:12	16:14:12	16:14:12			16:14:12	16:14:12	16:14:12	16:14:12	16:14:16	16:14:16	16:14:16	16:14:16	16:14:16	16:14:16			16:14:16	16:14:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
17	16:14:16	16:14:16	16:14:16	16:14:16	16:14:16	16:14:16			16:14:16	16:14:16	16:14:16	16:14:16	16:14:20	16:14:20	16:14:20	16:14:20	16:14:20	16:14:20			16:14:21	16:14:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
18	16:14:21	16:14:21	16:14:21	16:14:21	16:14:21	16:14:21			16:14:21	16:14:21	16:14:21	16:14:21	16:14:25	16:14:25	16:14:25	16:14:25	16:14:25	16:14:25			16:14:25	16:14:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
19	16:14:25	16:14:25	16:14:25	16:14:25	16:14:25	16:14:25			16:14:25	16:14:25	16:14:25	16:14:25	16:14:29	16:14:29	16:14:29	16:14:29	16:14:29	16:14:29			16:14:29	16:14:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
