ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	10888.888888888889	10888.888888888889	
1	11129.62962962963	11129.62962962963	
2	11518.518518518518	11518.518518518518	
3	11598.765432098766	11598.765432098766	
4	11524.691358024691	11524.691358024691	
5	11679.012345679012	11679.012345679012	
6	11722.222222222223	11722.222222222223	
7	11833.333333333334	11833.333333333334	
8	11672.839506172839	11672.839506172839	
9	11660.493827160493	11660.493827160493	
10	11697.530864197532	11697.530864197532	
11	11790.123456790123	11790.123456790123	
12	11851.851851851852	11851.851851851852	
13	11827.160493827161	11827.160493827161	
14	11913.58024691358	11913.58024691358	
15	11888.888888888889	11888.888888888889	
16	11790.123456790123	11790.123456790123	
17	11925.925925925925	11925.925925925925	
18	11808.641975308641	11808.641975308641	
19	11888.888888888889	11888.888888888889	
20	11864.197530864198	11864.197530864198	
21	12111.111111111111	12111.111111111111	
22	11851.851851851852	11851.851851851852	
23	11864.197530864198	11864.197530864198	
24	11858.024691358025	11858.024691358025	
25	11907.407407407407	11907.407407407407	
26	12006.172839506173	12006.172839506173	
27	11888.888888888889	11888.888888888889	
28	11882.716049382716	11882.716049382716	
29	11876.543209876543	11876.543209876543	
30	11944.444444444445	11944.444444444445	
31	11944.444444444445	11944.444444444445	
32	11913.58024691358	11913.58024691358	
33	11981.481481481482	11981.481481481482	
34	11956.79012345679	11956.79012345679	
35	11901.234567901234	11901.234567901234	
36	12135.802469135802	12135.802469135802	
37	11925.925925925925	11925.925925925925	
38	12000.0	12000.0	
39	12030.864197530864	12030.864197530864	
40	11845.67901234568	11845.67901234568	
41	12104.938271604939	12104.938271604939	
42	12024.691358024691	12024.691358024691	
43	11827.160493827161	11827.160493827161	
44	11901.234567901234	11901.234567901234	
45	11975.308641975309	11975.308641975309	
46	11876.543209876543	11876.543209876543	
47	12055.555555555555	12055.555555555555	
48	11833.333333333334	11833.333333333334	
49	12049.382716049382	12049.382716049382	
50	11882.716049382716	11882.716049382716	
51	11901.234567901234	11901.234567901234	
52	11993.827160493827	11993.827160493827	
53	11907.407407407407	11907.407407407407	
54	11907.407407407407	11907.407407407407	
55	11962.962962962964	11962.962962962964	
56	11925.925925925925	11925.925925925925	
57	11993.827160493827	11993.827160493827	
58	11944.444444444445	11944.444444444445	
59	11975.308641975309	11975.308641975309	
60	11925.925925925925	11925.925925925925	
61	11851.851851851852	11851.851851851852	
62	11962.962962962964	11962.962962962964	
63	12123.456790123457	12123.456790123457	
64	12055.555555555555	12055.555555555555	
65	12037.037037037036	12037.037037037036	
66	11956.79012345679	11956.79012345679	
67	12086.41975308642	12086.41975308642	
68	11913.58024691358	11913.58024691358	
69	11993.827160493827	11993.827160493827	
70	11895.061728395061	11895.061728395061	
71	12018.518518518518	12018.518518518518	
72	11864.197530864198	11864.197530864198	
73	11956.79012345679	11956.79012345679	
74	12092.592592592593	12092.592592592593	
75	12086.41975308642	12086.41975308642	
76	11993.827160493827	11993.827160493827	
77	12000.0	12000.0	
78	11938.271604938273	11938.271604938273	
79	11913.58024691358	11913.58024691358	
80	11919.753086419752	11919.753086419752	
81	11944.444444444445	11944.444444444445	
82	12092.592592592593	12092.592592592593	
83	11907.407407407407	11907.407407407407	
84	11944.444444444445	11944.444444444445	
85	11969.135802469136	11969.135802469136	
86	11895.061728395061	11895.061728395061	
87	11833.333333333334	11833.333333333334	
88	11913.58024691358	11913.58024691358	
89	12018.518518518518	12018.518518518518	
90	12000.0	12000.0	
91	11962.962962962964	11962.962962962964	
92	11851.851851851852	11851.851851851852	
93	11783.95061728395	11783.95061728395	
94	12043.20987654321	12043.20987654321	
95	11925.925925925925	11925.925925925925	
96	12012.345679012345	12012.345679012345	
97	11932.098765432098	11932.098765432098	
98	11932.098765432098	11932.098765432098	
99	11907.407407407407	11907.407407407407	
100	11950.617283950618	11950.617283950618	
