VehicleType  travelTime  travelDistance  emptyTimeShare   emptyDistanceShare
defaultVehicleType  -42715.0   23000.0   -0.0   0.0
defaultVehicleType  -47407.0   19000.0   -0.0   0.0
defaultVehicleType  -43978.0   19000.0   -0.0   0.0
defaultVehicleType  -48127.0   23000.0   -0.0   0.0
defaultVehicleType  -41635.0   19000.0   -0.0   0.0
defaultVehicleType  -48847.0   23000.0   -0.0   0.0
defaultVehicleType  -45058.0   23000.0   -0.0   0.0
defaultVehicleType  -45247.0   19000.0   -0.0   0.0
defaultVehicleType  -44887.0   19000.0   -0.0   0.0
heavy  -24194.0   31000.0   -0.0   0.0
heavy  -29386.0   39000.0   -0.0   0.0
heavy  -24037.0   31000.0   -0.0   0.0
heavy  -31344.0   43000.0   -0.0   0.0
heavy  -24554.0   31000.0   -0.0   0.0
heavy  -27908.0   35000.0   -0.0   0.0
heavy  -27912.0   39000.0   -0.0   0.0
heavy  -23467.0   23000.0   -0.0   0.0
heavy  -22687.0   23000.0   -0.0   0.0
heavy  -24547.0   35000.0   -0.0   0.0
heavy  -29302.0   55000.0   -0.0   0.0
heavy  -23166.0   27000.0   -0.0   0.0
heavy  -14791.0   15000.0   -0.0   0.0
heavy  -21782.0   19000.0   -0.0   0.0
heavy  -27911.0   39000.0   -0.0   0.0
heavy  -27709.0   43000.0   -0.0   0.0
heavy  -22086.0   27000.0   -0.0   0.0
heavy  -16291.0   19000.0   -0.0   0.0
heavy  -18218.0   23000.0   -0.0   0.0
heavy  -28581.0   35000.0   -0.0   0.0
heavy  -24946.0   27000.0   -0.0   0.0
heavy  -22864.0   39000.0   -0.0   0.0
heavy  -30130.0   39000.0   -0.0   0.0
heavy  -32741.0   35000.0   -0.0   0.0
heavy  -31764.0   39000.0   -0.0   0.0
heavy  -15931.0   27000.0   -0.0   0.0
heavy  -30324.0   35000.0   -0.0   0.0
heavy  -15011.0   27000.0   -0.0   0.0
heavy  -28808.0   31000.0   -0.0   0.0
heavy  -23918.0   31000.0   -0.0   0.0
heavy  -30573.0   43000.0   -0.0   0.0
heavy  -28348.0   35000.0   -0.0   0.0
heavy  -25200.0   35000.0   -0.0   0.0
heavy  -28439.0   31000.0   -0.0   0.0
heavy  -26640.0   31000.0   -0.0   0.0
heavy  -25434.0   31000.0   -0.0   0.0
heavy  -32372.0   47000.0   -0.0   0.0
heavy  -26774.0   31000.0   -0.0   0.0
heavy  -24974.0   23000.0   -0.0   0.0
heavy  -16694.0   31000.0   -0.0   0.0
heavy  -20478.0   31000.0   -0.0   0.0
heavy  -19246.0   23000.0   -0.0   0.0
heavy  -29527.0   35000.0   -0.0   0.0
heavy  -28398.0   35000.0   -0.0   0.0
